user,enrolled,predicted_reach
48024,1,0
266463,1,0
262169,1,0
213736,1,0
169082,1,1
216153,0,0
28449,0,0
94758,1,1
294376,1,1
304531,0,0
270310,1,1
511,1,1
11732,0,0
352624,0,0
43269,0,0
8894,0,0
181976,0,0
137519,0,0
137474,1,0
125132,1,1
97147,0,1
3121,1,1
226325,1,1
217267,0,1
190284,1,1
356451,0,0
125905,1,0
315958,1,1
365273,1,1
72620,0,0
205277,0,0
110355,1,1
164234,1,1
354968,1,1
299178,1,0
227218,1,1
350325,1,1
213681,1,0
74292,1,1
90866,1,1
319199,0,0
372902,1,1
176505,0,0
116374,0,0
150848,1,1
58452,1,1
172813,0,0
63860,0,0
250075,0,1
75829,1,1
191075,0,0
301705,1,1
120062,1,1
161244,1,1
104987,1,1
177394,0,0
82744,0,0
331909,0,0
47229,1,1
45899,1,0
68812,0,0
312704,0,0
66419,0,0
237912,1,1
350389,0,1
62557,0,0
72859,1,1
51857,1,1
239822,1,0
142820,1,0
85717,0,0
213542,1,1
133828,0,1
155580,0,0
319469,1,1
157538,1,1
234250,0,0
302476,1,1
363957,1,1
174633,0,0
162341,0,0
107744,1,0
367037,1,1
94715,0,0
254014,0,0
328068,1,1
189618,1,0
367890,1,1
222547,1,1
137442,1,0
275369,1,1
319900,0,0
137217,0,0
332127,1,1
287188,0,0
273631,1,0
367055,1,0
299466,1,0
31512,1,1
299059,1,1
277229,0,0
13448,1,1
55210,0,0
55336,1,1
221159,1,1
20985,0,0
39945,0,0
201789,1,0
88710,0,0
56452,1,1
326927,0,0
143209,1,1
138215,0,0
2026,0,0
94527,1,1
10532,1,1
266600,0,0
222866,1,1
24806,0,1
316188,1,0
297413,0,0
313449,0,1
183927,1,0
72988,0,0
191644,0,1
189995,1,0
282339,0,0
53848,0,1
77211,0,0
234491,0,0
324079,0,0
248239,1,1
639,1,1
8551,0,0
285189,0,0
329705,1,1
136386,0,0
172521,0,0
167269,0,0
143596,1,0
65243,1,0
207359,0,0
147699,0,1
284368,0,0
179755,1,1
110501,0,0
178031,0,0
62108,1,0
8657,1,1
3788,1,0
175424,1,1
6306,0,0
180551,0,0
180424,0,0
100148,0,0
339396,1,0
69079,1,1
329562,1,1
202039,1,1
61456,1,1
18350,1,1
205483,1,1
326040,1,1
348512,0,0
102937,0,1
344546,1,1
6327,1,1
319304,0,0
181420,1,1
62851,1,1
17769,1,1
174223,0,0
196062,1,1
271488,1,0
209871,1,1
122893,0,0
173859,0,0
194610,1,1
64423,0,0
46544,1,1
103489,1,0
288224,1,0
190961,0,0
62009,1,1
279232,1,1
316063,1,1
203545,0,0
287241,1,1
299479,0,0
346141,1,1
252928,0,0
357353,0,0
23905,1,1
30451,0,0
348107,0,0
59188,1,0
135449,0,0
170787,0,0
168022,0,0
170505,0,1
101759,0,0
312399,0,0
106562,1,1
255370,0,0
102995,0,1
147550,0,0
133156,1,0
104578,0,0
99419,1,0
79819,1,1
228328,1,1
121387,0,0
54070,1,1
312733,0,0
204116,0,0
266466,1,1
275259,1,1
39736,1,1
16995,0,1
62708,1,1
352154,0,0
214621,0,0
165108,1,1
334546,1,1
360015,0,0
210209,0,0
366322,1,0
340013,1,1
343074,1,1
33072,1,0
306587,1,0
298349,0,0
35826,1,1
319412,0,1
